coder,unique_id,link,grammatical_class,paper_eligibility,description,short_cite,data_source,expt_num,plot_label,expt_condition,dependent_measure,test_type,same_infant,language,mean_age,productive_vocab_mean,productive_vocab_median,population_type,sentence_structure,agent_argument_type,patient_argument_type,verb_type,stimuli_contrast,stimuli_type,stimuli_modality,stimuli_actor,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,n_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,example_target_sentence,test_question,inclusion_certainty,note,n_1,x_1,x_2,x_2_raw,sd_1,sd_2,sd_2_raw,t,d,d_calc,d_var_calc,es_method,unique_infant,test_method,agent_argument_type_clean,agent_argument_number,agent_argument_type2,patient_argument_type_clean,adult_participant,data_source_clean,publication_year
anjie,arunachalam2011,https://www.tandfonline.com/doi/pdf/10.1080/15475441.2011.573760?casa_token=M1YrvfIztBIAAAAA:-DH3XoMDhVLGR7dSrv99B74xZf9NkP9ZKZTIn2vzaZ5loOEXdgftqdyw9H2KspE_NqqD_YDUm31D,verb,include,scenes are familiar object vs familiar action,"Arunachalam, S., & Waxman, S. R. (2011)",figure_1,1,Arunachalam & Waxman (2011) - 1a,verb_rich,pointing_action,action,1,English,730.56,377,NA,typically_developing,transitive,noun,noun,fake_verb,object_change,video_person,video,person,asynchronous,yes,yes,distributed,6,1,15,7,The man is pilking a ballon!,Where is he pilking something,2,NA,20,0.6042555326943343,0.5,NA,0.20938941366059152,0.04682089627139057,NA,NA,NA,0.4979025962760785,0.05619767488446149,group_means_one,unique_condition,point,noun,1,noun,noun,no,plot,2011
anjie,arunachalam2011,https://www.tandfonline.com/doi/pdf/10.1080/15475441.2011.573760?casa_token=M1YrvfIztBIAAAAA:-DH3XoMDhVLGR7dSrv99B74xZf9NkP9ZKZTIn2vzaZ5loOEXdgftqdyw9H2KspE_NqqD_YDUm31D,verb,include,scenes are familiar object vs familiar action,"Arunachalam, S., & Waxman, S. R. (2011)",figure_1,1,Arunachalam & Waxman (2011) - 1b,verb_sparse,pointing_action,action,2,English,730.56,392,NA,typically_developing,transitive,noun_and_pronoun,pronoun_and_noun,fake_verb,object_change,video_person,video,person,asynchronous,yes,yes,distributed,6,1,15,7,He's pilking it!,Where is he pilking something,2,NA,20,0.5089576955888995,0.5,NA,0.3137474815621726,0.07015606965423797,NA,NA,NA,0.02855065336078054,0.05002037849518319,group_means_one,unique_condition,point,varying_agent,varying,pronoun,varying_patient,no,plot,2011
anjie,arunachalam2015,https://www.tandfonline.com/doi/pdf/10.1080/10489223.2014.928300?casa_token=g6jnv_0FBcIAAAAA:om4FI6acWEjy0p43gtPWYvmAczCoy6ScTsdtJov-oiX7yP62GeMzKLGWqlWw6dYVtcTKFqm9d1Qf,verb,include,scenes are familiar object vs familiar action,"Arunachalam, S., & Waxman, S. R. (2015)",results_text,1,Arunachalam & Waxman (2015) - 1a,rich_syntax,pointing_action,action,3,English,821.88,507,NA,typically_developing,transitive,noun,noun,fake_verb,object_change,video_person,video,person,asynchronous,yes,yes,distributed,6,1,1,4,A boy is gonna pilk a ballon! Let's see!,Where's pilking?,2,NA,18,0.65,0.5,NA,0.26,0.06290601992204417,NA,NA,NA,0.576923076923077,0.06480111768573307,group_means_one,unique_condition,point,noun,1,noun,noun,no,text,2015
anjie,arunachalam2015,https://www.tandfonline.com/doi/pdf/10.1080/10489223.2014.928300?casa_token=g6jnv_0FBcIAAAAA:om4FI6acWEjy0p43gtPWYvmAczCoy6ScTsdtJov-oiX7yP62GeMzKLGWqlWw6dYVtcTKFqm9d1Qf,verb,include,scenes are familiar object vs familiar action,"Arunachalam, S., & Waxman, S. R. (2015)",results_text,2,Arunachalam & Waxman (2015) - 2a,sparse_semantics,pointing_action,action,4,English,821.88,495,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,asynchronous,yes,yes,distributed,6,1,1,4,Let's see what happens now. He's gonna pilk it!,Where's pilking?,2,NA,18,0.43,0.5,NA,0.26,0.26,NA,NA,NA,-0.2692307692307693,0.05756903353057199,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,text,2015
anjie,arunachalam2015,https://www.tandfonline.com/doi/pdf/10.1080/10489223.2014.928300?casa_token=g6jnv_0FBcIAAAAA:om4FI6acWEjy0p43gtPWYvmAczCoy6ScTsdtJov-oiX7yP62GeMzKLGWqlWw6dYVtcTKFqm9d1Qf,verb,include,scenes are familiar object vs familiar action,"Arunachalam, S., & Waxman, S. R. (2015)",results_text,2,Arunachalam & Waxman (2015) - 2b,rich_semantics,pointing_action,action,5,English,821.88,502,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,asynchronous,yes,yes,distributed,6,1,1,4,Let's see a boy and a ballon. He's gonna pilk it!,Where's pilking?,2,NA,18,0.5,0.5,NA,0.28,0.28,NA,NA,NA,0,0.05555555555555555,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,text,2015
anjie,imai2008,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2008.01171.x?casa_token=o2E4FFLF4HIAAAAA%3A5H3uyVEjiO8tV6v1LqpJB3hup4UkBlZWhYo5qXQRTRHP0OpD6_MnyBN8vxb790WS9prLRcm9gv1PgQ,verb and noun,include,compare action-same vs object-same,"Imai, M., Li, L., Haryu, E., Okada, H., Hirsh‐Pasek, K., Golinkoff, R. M., & Shigematsu, J. (2008).",table_3,2,Imai et al. (2008) - 2a,verb_with_argument_3YO_En,point_scene,action,6,English,1278.48,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,simultaneous,no,yes,distributed,6,1,3,2,Look! She is X-ing it!,Where is she X-ing it?,2,NA,18,0.42,0.5,NA,0.35,0.35,NA,1.18,NA,-0.22857142857142862,0.057006802721088434,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,table,2008
anjie,imai2008,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2008.01171.x?casa_token=o2E4FFLF4HIAAAAA%3A5H3uyVEjiO8tV6v1LqpJB3hup4UkBlZWhYo5qXQRTRHP0OpD6_MnyBN8vxb790WS9prLRcm9gv1PgQ,verb and noun,include,compare action-same vs object-same,"Imai, M., Li, L., Haryu, E., Okada, H., Hirsh‐Pasek, K., Golinkoff, R. M., & Shigematsu, J. (2008).",table_3,2,Imai et al. (2008) - 2b,verb_with_argument_5YO_En,point_scene,action,7,English,1899.456,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,simultaneous,no,yes,distributed,6,1,3,2,Look! She is X-ing it!,Where is she X-ing it?,2,NA,21,0.7,0.5,NA,0.33,0.33,NA,2.8,NA,0.6060606060606059,0.05636451090996544,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,table,2008
anjie,imai2008,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2008.01171.x?casa_token=o2E4FFLF4HIAAAAA%3A5H3uyVEjiO8tV6v1LqpJB3hup4UkBlZWhYo5qXQRTRHP0OpD6_MnyBN8vxb790WS9prLRcm9gv1PgQ,verb and noun,include,compare action-same vs object-same,"Imai, M., Li, L., Haryu, E., Okada, H., Hirsh‐Pasek, K., Golinkoff, R. M., & Shigematsu, J. (2008).",table_3,6,Imai et al. (2008) - 6a,verb_with_argument_highlight_action_En,point_scene,action,8,English,1315.008,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,simultaneous,no,yes,distributed,6,1,3,2,Look! She is X-ing it!,Where is she X-ing it?,2,NA,16,0.53,0.5,NA,0.27,0.27,NA,NA,NA,0.1111111111111112,0.0628858024691358,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,table,2008
izzy/anjie,lidz2009,https://www.researchgate.net/profile/Jeffrey_Lidz/publication/228542830_When_one_cue_is_better_than_two_Lexical_vs_Syntactic_Cues_to_Verb_Learning/links/02bfe512def60ae77c000000.pdf,verb,include,flower spining and flower moving up and down,"Lidz, J., Bunger, A., Leddon, E., Baier, R., & Waxman, S. R. (2009)",table_3,1,"Lidz, Bunger, Leddon, Baier, & Waxman (2009) - 1a",low_lexical,looking_duration,action,9,English,697.076,190,NA,typically_developing,intransitive,noun_and_pronoun,NA,fake_verb,no_change,video_person,video,non_person,asynchronous,no,no,distributed,4,1,9,5,Look! The flower is blicking.,Which one is blicking?,1,contrast event,16,0.51,0.5,0.3,0.248,0.062,0.035,NA,NA,0.040322580645161324,0.06255080970343392,group_means_one,unique_condition,look,varying_agent,varying,pronoun,intransitive,no,table,2009
izzy/anjie,lidz2009,https://www.researchgate.net/profile/Jeffrey_Lidz/publication/228542830_When_one_cue_is_better_than_two_Lexical_vs_Syntactic_Cues_to_Verb_Learning/links/02bfe512def60ae77c000000.pdf,verb,include,flower spining and flower moving up and down,"Lidz, J., Bunger, A., Leddon, E., Baier, R., & Waxman, S. R. (2009)",table_3,1,"Lidz, Bunger, Leddon, Baier, & Waxman (2009) - 1b",high_lexical,looking_duration,action,10,English,697.076,190,NA,typically_developing,intransitive,noun,NA,fake_verb,no_change,video_person,video,non_person,asynchronous,no,no,distributed,4,1,9,5,Look! That thing is blicking!,Which one is blicking?,1,contrast event,16,0.35,0.5,0.37,0.188,0.047,0.039,NA,NA,-0.797872340425532,0.08239375848800362,group_means_one,unique_condition,look,noun,1,noun,intransitive,no,table,2009
