study_ID,long_cite,short_cite,peer_reviewed,coder,expt_num,expt_condition,same_infant,response_mode,exposure_phase,method,dependent_measure,participant_design,native_lang,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,t,F,r ,d,d_var,corr,test_lang,stimuli_link,data_link,age_range_1,age_range_2,n_excluded_1,n_excluded_2,gender_1 (female),gender_2,num_trials,mean_vocab,procedure_secondary,Lab,RuleComparison,TrainingRule,Stimulus,Modality,Semantics,PreferenceType,Notes,x_diff,x_diff_sd,CoarseStimulusCode,FamilType,FamilTime,FamilTime_SD,FamilTimeNotes
Dawson2009,"Dawson C, Gerken, LA From domain-generality to domain-sensitivity: 4-month-olds learn an abstract repetition rule in music that 7-month-olds do not Cognition 111.3 (2009): 378-382.",Dawson & Gerken (2009) Cognition,yes,HR,1,4mo,,behavior,familiarization,HPP,looking_time,within_two,American English,typical,experimental,,18,,119,,,,,,2.61,,,,,,artificial,,,107,137,5,,7,11,,,,Gerken,AAB vs ABA,,Chords,Nonspeech,Meaningless,Novelty,,,,Tones,Seconds,120,NA,
Dawson2009,"Dawson C, Gerken, LA From domain-generality to domain-sensitivity: 4-month-olds learn an abstract repetition rule in music that 7-month-olds do not Cognition 111.3 (2009): 378-382.",Dawson & Gerken (2009) Cognition,yes,HR,1,7.5mo,,behavior,familiarization,HPP,looking_time,within_two,American English,typical,experimental,,18,,224,,,,,,0.33,,,,,,artificial,,,213,243,3,,7,11,,,,Gerken,AAB vs ABA,,Chords,Nonspeech,Meaningless,Novelty,,,,Tones,Seconds,120,NA,
Dawson2009,"Dawson C, Gerken, LA From domain-generality to domain-sensitivity: 4-month-olds learn an abstract repetition rule in music that 7-month-olds do not Cognition 111.3 (2009): 378-382.",Dawson & Gerken (2009) Cognition,yes,HR,2,4mo,,behavior,familiarization,HPP,looking_time,within_two,American English,typical,experimental,,18,,126,,,,,,2.55,,,,,,artificial,,,107,137,4,,6,12,,,,Gerken,AAB vs ABA,,Tones,Nonspeech,Meaningless,Novelty,,,,Tones,Seconds,120,NA,
Dawson2009,"Dawson C, Gerken, LA From domain-generality to domain-sensitivity: 4-month-olds learn an abstract repetition rule in music that 7-month-olds do not Cognition 111.3 (2009): 378-382.",Dawson & Gerken (2009) Cognition,yes,HR,2,7.5mo,,behavior,familiarization,HPP,looking_time,within_two,American English,typical,experimental,,18,,231,,,,,,0.36,,,,,,artificial,,,213,243,1,,3,15,,,,Gerken,AAB vs ABA,,Tones,Nonspeech,Meaningless,Novelty,,,,Tones,Seconds,120,NA,
Saffran2007,"Saffran, JR, Pollak, SD, Seibel, RL, Shkolnik, A. Dog is a dog is a dog: Infant rule learning is not specific to language. Cognition. 2007 Dec; 105(3): 669–680.",Saffran et al (2007) Cognition,yes,HR,1,7mo,,behavior,habituation,CF,looking_time,within_two,American English,typical,experimental,,16,,222,,7.51,5.21,3.44,2.16,3.25,,,,,,artificial,,,213,228,4,,Not reported,Not reported,,,,Saffran,ABA vs ABB,,Dogs,Nonspeech,Meaningful,Novelty,,,,Animals,NA,NA,NA,
Saffran2007,"Saffran, JR, Pollak, SD, Seibel, RL, Shkolnik, A. Dog is a dog is a dog: Infant rule learning is not specific to language. Cognition. 2007 Dec; 105(3): 669–680.",Saffran et al (2007) Cognition,yes,HR,2,7mo,,behavior,habituation,CF,looking_time,within_two,American English,typical,experimental,,16,,219,,6.27,3.79,2.72,1.04,4.8,,,,,,artificial,,,213,228,4,,Not reported,Not reported,,,,Saffran,AAB vs ABB,,Dogs,Nonspeech,Meaningful,Novelty,,,,Animals,NA,NA,NA,
Saffran2007,"Saffran, JR, Pollak, SD, Seibel, RL, Shkolnik, A. Dog is a dog is a dog: Infant rule learning is not specific to language. Cognition. 2007 Dec; 105(3): 669–680.",Saffran et al (2007) Cognition,yes,HR,3,7mo,,behavior,habituation,CF,looking_time,within_two,American English,typical,experimental,,12,,221,,4.72,3.69,1.72,1.16,4.2,,,,,,artificial,,,213,228,1,,Not reported,Not reported,,,,Saffran,ABA vs ABB,,Cats,Nonspeech,Meaningful,Novelty,,,,Animals,NA,NA,NA,
Thiessen2012,"Thiessen, ED Effects of Inter- and Intra-modal Redundancy on Infants' Rule Learning . Language Learning and Development, 2012, 8(3), 197-214.",Thiessen (2012) LLD,yes,HR,1,ABA,,behavior,habituation,CF,looking_time,within_two,American English,typical,experimental,,16,,219,,6.4,7.7,2.5,3,-3.1,,,-0.73,,,artificial,,,198,244,2,,Not reported,Not reported,,,,Thiessen,Train ABA test ABB,ABA,Shapes and Tones,Nonspeech,Meaningless,Familiarity,"SDs not reported, calculated from reported SEs",,,Multimodal,Trials,8.4,NA,
Thiessen2012,"Thiessen, ED Effects of Inter- and Intra-modal Redundancy on Infants' Rule Learning . Language Learning and Development, 2012, 8(3), 197-214.",Thiessen (2012) LLD,yes,HR,1,ABB,,behavior,habituation,CF,looking_time,within_two,American English,typical,experimental,,16,,219,,5.9,7,1.5,1.6,-2.3,,,-0.61,,,artificial,,,198,244,2,,Not reported,Not reported,,,,Thiessen,Train ABB test ABA,ABB,Shapes and Tones,Nonspeech,Meaningless,Familiarity,,,,Multimodal,Trials,8.7,NA,
Thiessen2012,"Thiessen, ED Effects of Inter- and Intra-modal Redundancy on Infants' Rule Learning . Language Learning and Development, 2012, 8(3), 197-214.",Thiessen (2012) LLD,yes,HR,2,ABA,,behavior,habituation,CF,looking_time,within_two,American English,typical,experimental,,16,,225,,7.8,6.9,2.7,3.3,2.5,,,0.47,,,artificial,,,198,244,4,,Not reported,Not reported,,,,Thiessen,Train ABA test ABB,ABA,Shapes and Tones,Nonspeech,Meaningless,Novelty,,,,Multimodal,Trials,7.9,NA,
