coder,unique_id,long_cite,link,grammatical_class,paper_eligibility,exclusion_reason,short_cite, data_source,expt_num,plot_label,expt_condition,dependent_measure,response_mode,test_type,n_1,x_1,x_2_raw,x_2,SD_1,SD_2_raw,SE,SD_2,t,d,same_infant,language,mean_age,productive_vocab_mean,productive_vocab_median,population_type,sentence_structure,agent_argument_type,patient_argument_type,verb_type,stimuli_type,stimuli_modality,stimuli_actor,transitive_event_type,intransitive_event_type,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,N_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,example_target_sentence,test_question,inclusion_certainty,note
alana,akhtar1997,"Akhtar, N., & Tomasello, M. (1997). Young children's productivity with word order and verb morphology. Developmental psychology, 33(6), 952.",https://psycnet.apa.org/record/1997-43226-007,verb,exclude,measurement_argument_production,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anjie,arunachalam2011,"Arunachalam, S., & Waxman, S. R. (2011). Grammatical form and semantic context in verb learning. Language Learning and Development, 7(3), 169-184.",https://www.tandfonline.com/doi/pdf/10.1080/15475441.2011.573760?casa_token=M1YrvfIztBIAAAAA:-DH3XoMDhVLGR7dSrv99B74xZf9NkP9ZKZTIn2vzaZ5loOEXdgftqdyw9H2KspE_NqqD_YDUm31D,verb,exclude,scenes are familiar object vs familiar action,"Arunachalam, S., & Waxman, S. R. (2011)",figure_1,1,"Arunachalam & Waxman, (2011) - 1a",verb_rich,pointing_action,,action,20,0.60,,0.50,0.05,,,0.05,,,no,English,730.56,377.00,NA,typical_developing,transitive,noun,noun,fake_verb,video_person,video,person,,,asynchronous,yes,yes,distributed,6.00,1.00,15.00,7.00,The man is pilking a ballon!,Where is he pilking something,2.00,
anjie,arunachalam2011,"Arunachalam, S., & Waxman, S. R. (2011). Grammatical form and semantic context in verb learning. Language Learning and Development, 7(3), 169-184.",https://www.tandfonline.com/doi/pdf/10.1080/15475441.2011.573760?casa_token=M1YrvfIztBIAAAAA:-DH3XoMDhVLGR7dSrv99B74xZf9NkP9ZKZTIn2vzaZ5loOEXdgftqdyw9H2KspE_NqqD_YDUm31D,verb,exclude,scenes are familiar object vs familiar action,"Arunachalam, S., & Waxman, S. R. (2011)",figure_1,1,"Arunachalam & Waxman, (2011) - 1b",verb_sparse,pointing_action,,action,20,0.51,,0.50,0.07,,,0.07,,,no,English,730.56,392.00,NA,typical_developing,transitive,pronoun_and_noun,pronoun_and_noun,fake_verb,video_person,video,person,,,asynchronous,yes,yes,distributed,6.00,1.00,15.00,7.00,He's pilking it!,Where is he pilking something,2.00,
anjie,arunachalam2015,"Arunachalam, S., & Waxman, S. R. (2015). Let’s see a boy and a balloon: Argument labels and syntactic frame in verb learning. Language Acquisition, 22(2), 117-131.",https://www.tandfonline.com/doi/pdf/10.1080/10489223.2014.928300?casa_token=g6jnv_0FBcIAAAAA:om4FI6acWEjy0p43gtPWYvmAczCoy6ScTsdtJov-oiX7yP62GeMzKLGWqlWw6dYVtcTKFqm9d1Qf,verb,exclude,scenes are familiar object vs familiar action,"Arunachalam, S., & Waxman, S. R. (2015)",results_text,1,N/A,rich_syntax,pointing_action,,action,18,0.65,,0.50,0.26,,,0.06,,,no,English,821.88,507.00,NA,typical_developing,transitive,noun,noun,fake_verb,video_person,video,person,,,asynchronous,yes,yes,distributed,6.00,1.00,1.00,4.00,A boy is gonna pilk a ballon! Let's see!,Where's pilking?,2.00,
anjie,arunachalam2015,"Arunachalam, S., & Waxman, S. R. (2015). Let’s see a boy and a balloon: Argument labels and syntactic frame in verb learning. Language Acquisition, 22(2), 117-131.",https://www.tandfonline.com/doi/pdf/10.1080/10489223.2014.928300?casa_token=g6jnv_0FBcIAAAAA:om4FI6acWEjy0p43gtPWYvmAczCoy6ScTsdtJov-oiX7yP62GeMzKLGWqlWw6dYVtcTKFqm9d1Qf,verb,exclude,scenes are familiar object vs familiar action,"Arunachalam, S., & Waxman, S. R. (2015)",results_text,2,N/A,sparse_semantics,pointing_action,,action,18,0.43,,0.50,0.26,,,0.26,,,no,English,821.88,495.00,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,video_person,video,person,,,asynchronous,yes,yes,distributed,6.00,1.00,1.00,4.00,Let's see what happens now. He's gonna pilk it!,Where's pilking?,2.00,
anjie,arunachalam2015,"Arunachalam, S., & Waxman, S. R. (2015). Let’s see a boy and a balloon: Argument labels and syntactic frame in verb learning. Language Acquisition, 22(2), 117-131.",https://www.tandfonline.com/doi/pdf/10.1080/10489223.2014.928300?casa_token=g6jnv_0FBcIAAAAA:om4FI6acWEjy0p43gtPWYvmAczCoy6ScTsdtJov-oiX7yP62GeMzKLGWqlWw6dYVtcTKFqm9d1Qf,verb,exclude,scenes are familiar object vs familiar action,"Arunachalam, S., & Waxman, S. R. (2015)",results_text,2,N/A,rich_semantics,pointing_action,,action,18,0.50,,0.50,0.28,,,0.28,,,no,English,821.88,502.00,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,video_person,video,person,,,asynchronous,yes,yes,distributed,6.00,1.00,1.00,4.00,Let's see a boy and a ballon. He's gonna pilk it!,Where's pilking?,2.00,
alana/anjie,arunachalam2017,"Arunachalam, S. (2017). Preschoolers' acquisition of novel verbs in the double object dative. Cognitive science, 41, 831-854.",https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12368,verb,exclude,identify agent,"Arunachalam, S. (2017)",plot_2,1,"Arunachalam, (2017) - 1a",PP,point_scene,,action,20,0.69,,0.50,0.07,,,0.07,,,no,English,"1,522.00",NA,NA,typically_developing,transitive,pronoun,noun_phrase,fake_verb,video_puppet,video,non-person,AGENT,AGENT,Immediate-after,yes,no,distributed,4.00,1.00,4.00,6.00,She's gonna meek the block to the turtle,where is she meeking the sheep to the pig?,1.00,PP and DO
anjie ,arunachalam2017,"Arunachalam, S. (2017). Preschoolers' acquisition of novel verbs in the double object dative. Cognitive science, 41, 831-854.",https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12368,verb,exclude,identify agent,"Arunachalam, S. (2017)",plot_2,1,"Arunachalam, (2017) - 1b",DO,point_scene,,action,20,0.53,,0.50,0.04,,,0.04,,,no,English,"1,522.00",NA,NA,typically_developing,transitive,pronoun,noun_phrase,fake_verb,video_puppet,video,non-person,AGENT,AGENT,Immediate-after,yes,no,distributed,4.00,1.00,4.00,6.00,she's gonna meek the turtle the block.,where is she meeking the sheep the pig?,1.00,PP and DO
anjie ,arunachalam2017,"Arunachalam, S. (2017). Preschoolers' acquisition of novel verbs in the double object dative. Cognitive science, 41, 831-854.",https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12368,verb,exclude,identify agent,"Arunachalam, S. (2017)",fig_3,2,"Arunachalam, (2017) - 2a",PP_DO_no_delay,point_scene,,action,20,0.63,,0.50,0.05,,,0.05,,,no,English,"1,582.88",NA,NA,typically_developing,transitive,pronoun,noun_phrase,fake_verb,video_puppet,video,non-person,AGENT,AGENT,Immediate-after,yes,no,distributed,4.00,1.00,4.00,6.00,She's gonna meek the block to the turtle,where is she meeking the sheep the pig?,1.00,PP and DO;different structure in test and DO; the after delay condition is excluded because only has test phase
alana,asplin2002,"Asplin, K. N. (2002). Can complement frames help children learn the meaning of abstract verbs?.",https://scholarworks.umass.edu/cgi/viewcontent.cgi?article=2294&context=dissertations_1,verb / sentence structure,exclude,,"Asplin, K. N. (2002)",plot_4,1,N/A,tensed_3,point_scene,,actor,6,0.60,,0.50,0.20,,,0.20,,,asplin2002,English,"1,248.04",NA,NA,typically_developing,transitive,pronoun,noun_phrase,fake_verb,picture_characters,picture,non-person,,,asynchronous,no,yes,mass,1.00,4.00,4.00,N/A,someone daxed that the raccoon ate the corn ,who daxed that the raccoon ate the corn ,1.00,infinitival and tensed; picture stories
alana,asplin2002,"Asplin, K. N. (2002). Can complement frames help children learn the meaning of abstract verbs?.",https://scholarworks.umass.edu/cgi/viewcontent.cgi?article=2294&context=dissertations_1,verb / sentence structure,exclude,,"Asplin, K. N. (2002)",plot_4,1,N/A,tensed_4,point_scene,,actor,6,0.70,,0.50,0.20,,,0.20,,,asplin2002,English,"1,643.76",NA,NA,typically_developing,transitive,pronoun,noun_phrase,fake_verb,picture_characters,picture,non-person,,,asynchronous,no,yes,mass,1.00,4.00,4.00,N/A,someone daxed that the raccoon ate the corn ,who daxed that the raccoon ate the corn ,1.00,infinitival and tensed; picture stories
alana,asplin2002,"Asplin, K. N. (2002). Can complement frames help children learn the meaning of abstract verbs?.",https://scholarworks.umass.edu/cgi/viewcontent.cgi?article=2294&context=dissertations_1,verb / sentence structure,exclude,,"Asplin, K. N. (2002)",plot_4,1,N/A,tensed_5,point_scene,,actor,6,0.33,,0.50,0.24,,,0.24,,,asplin2002,English ,"1,917.72",NA,NA,typically_developing,transitive,pronoun,noun_phrase,fake_verb,picture_characters,picture,non-person,,,asynchronous,no,yes,mass,1.00,4.00,4.00,N/A,someone daxed that the raccoon ate the corn ,who daxed that the raccoon ate the corn ,1.00,infinitival and tensed; picture stories
alana,asplin2002,"Asplin, K. N. (2002). Can complement frames help children learn the meaning of abstract verbs?.",https://scholarworks.umass.edu/cgi/viewcontent.cgi?article=2294&context=dissertations_1,verb / sentence structure,exclude,,"Asplin, K. N. (2002)",plot_4,1,N/A,infinitival_3,point_scene,,actor,6,0.33,,0.50,0.22,,,0.22,,,asplin2002,English ,"1,248.04",NA,NA,typically_developing,transitive,pronoun,noun_phrase,fake_verb,picture_characters,picture,non-person,,,asynchronous,no,yes,mass,1.00,4.00,4.00,N/A,someone daxed the racoon to eat the corn ,who daxed the racoon to eat the corn ,1.00,infinitival and tensed; picture stories
