coder,unique_id,long_cite,link,grammatical_class,paper_eligibility,description,short_cite,data_source,expt_num,plot_label,expt_condition,dependent_measure,test_type,n_1,x_1,x_2_raw,x_2,SD_1,SD_2_raw,SD_2,t,d,same_infant,language,mean_age,productive_vocab_mean,productive_vocab_median,population_type,sentence_structure,agent_argument_type,patient_argument_type,verb_type,stimuli_contrast,stimuli_type,stimuli_modality,stimuli_actor,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,N_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,example_target_sentence,test_question,inclusion_certainty,note
anjie,arunachalam2011,"Arunachalam, S., & Waxman, S. R. (2011). Grammatical form and semantic context in verb learning. Language Learning and Development, 7(3), 169-184.",https://www.tandfonline.com/doi/pdf/10.1080/15475441.2011.573760?casa_token=M1YrvfIztBIAAAAA:-DH3XoMDhVLGR7dSrv99B74xZf9NkP9ZKZTIn2vzaZ5loOEXdgftqdyw9H2KspE_NqqD_YDUm31D,verb,include,scenes are familiar object vs familiar action,"Arunachalam, S., & Waxman, S. R. (2011)",figure_1,1,Arunachalam & Waxman (2011) - 1a,verb_rich,pointing_action,action,20,0.6042555326943343,NA,0.5,0.20938941366059152,NA,0.04682089627139057,NA,NA,no,English,730.56,377,NA,typical_developing,transitive,noun,noun,fake_verb,object_change,video_person,video,person,asynchronous,yes,yes,distributed,6,1,15,7,The man is pilking a ballon!,Where is he pilking something,2,NA
anjie,arunachalam2011,"Arunachalam, S., & Waxman, S. R. (2011). Grammatical form and semantic context in verb learning. Language Learning and Development, 7(3), 169-184.",https://www.tandfonline.com/doi/pdf/10.1080/15475441.2011.573760?casa_token=M1YrvfIztBIAAAAA:-DH3XoMDhVLGR7dSrv99B74xZf9NkP9ZKZTIn2vzaZ5loOEXdgftqdyw9H2KspE_NqqD_YDUm31D,verb,include,scenes are familiar object vs familiar action,"Arunachalam, S., & Waxman, S. R. (2011)",figure_1,1,Arunachalam & Waxman (2011) - 1b,verb_sparse,pointing_action,action,20,0.5089576955888995,NA,0.5,0.3137474815621726,NA,0.07015606965423797,NA,NA,no,English,730.56,392,NA,typical_developing,transitive,pronoun_and_noun,pronoun_and_noun,fake_verb,object_change,video_person,video,person,asynchronous,yes,yes,distributed,6,1,15,7,He's pilking it!,Where is he pilking something,2,NA
anjie,arunachalam2015,"Arunachalam, S., & Waxman, S. R. (2015). Let’s see a boy and a balloon: Argument labels and syntactic frame in verb learning. Language Acquisition, 22(2), 117-131.",https://www.tandfonline.com/doi/pdf/10.1080/10489223.2014.928300?casa_token=g6jnv_0FBcIAAAAA:om4FI6acWEjy0p43gtPWYvmAczCoy6ScTsdtJov-oiX7yP62GeMzKLGWqlWw6dYVtcTKFqm9d1Qf,verb,include,scenes are familiar object vs familiar action,"Arunachalam, S., & Waxman, S. R. (2015)",results_text,1,Arunachalam & Waxman (2015) - 1a,rich_syntax,pointing_action,action,18,0.65,NA,0.5,0.26,NA,0.06290601992204417,NA,NA,no,English,821.88,507,NA,typical_developing,transitive,noun,noun,fake_verb,object_change,video_person,video,person,asynchronous,yes,yes,distributed,6,1,1,4,A boy is gonna pilk a ballon! Let's see!,Where's pilking?,2,NA
anjie,arunachalam2015,"Arunachalam, S., & Waxman, S. R. (2015). Let’s see a boy and a balloon: Argument labels and syntactic frame in verb learning. Language Acquisition, 22(2), 117-131.",https://www.tandfonline.com/doi/pdf/10.1080/10489223.2014.928300?casa_token=g6jnv_0FBcIAAAAA:om4FI6acWEjy0p43gtPWYvmAczCoy6ScTsdtJov-oiX7yP62GeMzKLGWqlWw6dYVtcTKFqm9d1Qf,verb,include,scenes are familiar object vs familiar action,"Arunachalam, S., & Waxman, S. R. (2015)",results_text,2,Arunachalam & Waxman (2015) - 2a,sparse_semantics,pointing_action,action,18,0.43,NA,0.5,0.26,NA,0.26,NA,NA,no,English,821.88,495,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,asynchronous,yes,yes,distributed,6,1,1,4,Let's see what happens now. He's gonna pilk it!,Where's pilking?,2,NA
anjie,arunachalam2015,"Arunachalam, S., & Waxman, S. R. (2015). Let’s see a boy and a balloon: Argument labels and syntactic frame in verb learning. Language Acquisition, 22(2), 117-131.",https://www.tandfonline.com/doi/pdf/10.1080/10489223.2014.928300?casa_token=g6jnv_0FBcIAAAAA:om4FI6acWEjy0p43gtPWYvmAczCoy6ScTsdtJov-oiX7yP62GeMzKLGWqlWw6dYVtcTKFqm9d1Qf,verb,include,scenes are familiar object vs familiar action,"Arunachalam, S., & Waxman, S. R. (2015)",results_text,2,Arunachalam & Waxman (2015) - 2b,rich_semantics,pointing_action,action,18,0.5,NA,0.5,0.28,NA,0.28,NA,NA,no,English,821.88,502,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,asynchronous,yes,yes,distributed,6,1,1,4,Let's see a boy and a ballon. He's gonna pilk it!,Where's pilking?,2,NA
anjie,imai2008,"Imai, M., Li, L., Haryu, E., Okada, H., Hirsh‐Pasek, K., Golinkoff, R. M., & Shigematsu, J. (2008). Novel noun and verb learning in Chinese‐, English‐, and Japanese‐speaking children. Child development, 79(4), 979-1000.",https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2008.01171.x?casa_token=o2E4FFLF4HIAAAAA%3A5H3uyVEjiO8tV6v1LqpJB3hup4UkBlZWhYo5qXQRTRHP0OpD6_MnyBN8vxb790WS9prLRcm9gv1PgQ,verb and noun,include,compare action-same vs object-same,"Imai, M., Li, L., Haryu, E., Okada, H., Hirsh‐Pasek, K., Golinkoff, R. M., & Shigematsu, J. (2008).",table_3,2,Imai et al. (2008) - 2a,verb_with_argument_3YO_En,point_scene,action,18,0.42,NA,0.5,0.35,NA,0.35,1.18,NA,no,English,1278.48,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,simultaneous,no,yes,distributed,6,1,3,2,Look! She is X-ing it!,Where is she X-ing it?,2,NA
anjie,imai2008,"Imai, M., Li, L., Haryu, E., Okada, H., Hirsh‐Pasek, K., Golinkoff, R. M., & Shigematsu, J. (2008). Novel noun and verb learning in Chinese‐, English‐, and Japanese‐speaking children. Child development, 79(4), 979-1000.",https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2008.01171.x?casa_token=o2E4FFLF4HIAAAAA%3A5H3uyVEjiO8tV6v1LqpJB3hup4UkBlZWhYo5qXQRTRHP0OpD6_MnyBN8vxb790WS9prLRcm9gv1PgQ,verb and noun,include,compare action-same vs object-same,"Imai, M., Li, L., Haryu, E., Okada, H., Hirsh‐Pasek, K., Golinkoff, R. M., & Shigematsu, J. (2008).",table_3,2,Imai et al. (2008) - 2b,verb_with_argument_5YO_En,point_scene,action,21,0.7,NA,0.5,0.33,NA,0.33,2.8,NA,no,English,1899.456,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,simultaneous,no,yes,distributed,6,1,3,2,Look! She is X-ing it!,Where is she X-ing it?,2,NA
anjie,imai2008,"Imai, M., Li, L., Haryu, E., Okada, H., Hirsh‐Pasek, K., Golinkoff, R. M., & Shigematsu, J. (2008). Novel noun and verb learning in Chinese‐, English‐, and Japanese‐speaking children. Child development, 79(4), 979-1000.",https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2008.01171.x?casa_token=o2E4FFLF4HIAAAAA%3A5H3uyVEjiO8tV6v1LqpJB3hup4UkBlZWhYo5qXQRTRHP0OpD6_MnyBN8vxb790WS9prLRcm9gv1PgQ,verb and noun,include,compare action-same vs object-same,"Imai, M., Li, L., Haryu, E., Okada, H., Hirsh‐Pasek, K., Golinkoff, R. M., & Shigematsu, J. (2008).",table_3,6,Imai et al. (2008) - 6a,verb_with_argument_highlight_action_En,point_scene,action,16,0.53,NA,0.5,0.27,NA,0.27,NA,NA,no,English,1315.008,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,simultaneous,no,yes,distributed,6,1,3,2,Look! She is X-ing it!,Where is she X-ing it?,2,NA
izzy/anjie,lidz2009,"Lidz, J., Bunger, A., Leddon, E., Baier, R., & Waxman, S. R. (2009). When one cue is better than two: Lexical vs. syntactic cues to verb learning. Unpublished manuscript.< http://ling. umd. edu/labs/acquisition/papers/2009/LidzBungerLeddonBaierWaxman2009. pdf.",https://www.researchgate.net/profile/Jeffrey_Lidz/publication/228542830_When_one_cue_is_better_than_two_Lexical_vs_Syntactic_Cues_to_Verb_Learning/links/02bfe512def60ae77c000000.pdf,verb,include,flower spining and flower moving up and down,"Lidz, J., Bunger, A., Leddon, E., Baier, R., & Waxman, S. R. (2009)",table_3,1,"Lidz, Bunger, Leddon, Baier, & Waxman (2009) - 1a",low_lexical,looking_duration,action,16,0.51,0.3,0.5,0.248,0.035,0.062,NA,NA,no,English,697.076,190,NA,typically_developing,intransitive,noun_and_pronoun,"NA",fake_verb,no_change,video_person,video,non_person,asynchronous,"NA","NA",distributed,4,1,9,5,Look! The flower is blicking.,Which one is blicking?,1,contrast event
izzy/anjie,lidz2009,"Lidz, J., Bunger, A., Leddon, E., Baier, R., & Waxman, S. R. (2009). When one cue is better than two: Lexical vs. syntactic cues to verb learning. Unpublished manuscript.< http://ling. umd. edu/labs/acquisition/papers/2009/LidzBungerLeddonBaierWaxman2009. pdf.",https://www.researchgate.net/profile/Jeffrey_Lidz/publication/228542830_When_one_cue_is_better_than_two_Lexical_vs_Syntactic_Cues_to_Verb_Learning/links/02bfe512def60ae77c000000.pdf,verb,include,flower spining and flower moving up and down,"Lidz, J., Bunger, A., Leddon, E., Baier, R., & Waxman, S. R. (2009)",table_3,1,"Lidz, Bunger, Leddon, Baier, & Waxman (2009) - 1b",high_lexical,looking_duration,action,16,0.35,0.37,0.5,0.188,0.039,0.047,NA,NA,no,English,697.076,190,NA,typically_developing,intransitive,noun,"NA",fake_verb,no_change,video_person,video,non_person,asynchronous,"NA","NA",distributed,4,1,9,5,Look! That thing is blicking!,Which one is blicking?,1,contrast event
